"species","choice"
"nom","nom"
"robot","flower"
"human","data"
"human","data"
"human","data"
"robot","data"
"human","flower"
"human","data"
"robot","data"
"human","flower"
"robot","flower"
"robot","flower"
"human","flower"
"human","data"
"human","data"
"human","data"
"human","data"
"robot","data"
"human","data"
"human","data"
"human","data"
"human","flower"
"robot","flower"
"human","data"
"robot","flower"
"robot","flower"
"human","flower"
"robot","data"
"robot","data"
"robot","data"
"robot","data"
"human","data"
"human","flower"
"robot","data"
"human","data"
"human","data"
"robot","flower"
"human","data"
"robot","data"
"robot","flower"
"robot","flower"
"robot","flower"
"robot","flower"
"human","flower"
"human","data"
"human","data"
"robot","flower"
"robot","flower"
"robot","flower"
"robot","data"
"human","data"
"human","flower"
"robot","data"
"robot","flower"
"robot","data"
"robot","data"
"human","data"
"robot","flower"
"robot","data"
"robot","data"
"human","data"
"human","flower"
"robot","flower"
"human","data"
"human","data"
"human","data"
"robot","data"
"robot","flower"
"robot","data"
"human","data"
"human","flower"
"robot","flower"
"human","data"
"robot","flower"
"robot","flower"
"robot","flower"
"robot","data"
"robot","data"
"robot","data"
"human","data"
"human","data"
"human","data"
"robot","data"
"human","flower"
"robot","data"
"robot","data"
"human","flower"
"human","flower"
"robot","data"
"human","data"
"robot","data"
"human","data"
"human","flower"
"human","flower"
"robot","data"
"robot","flower"
"human","data"
"human","data"
"robot","data"
"human","data"
"robot","data"
"robot","flower"
"robot","data"
"robot","data"
"human","data"
"robot","flower"
"human","flower"
"robot","data"
"human","flower"
"robot","flower"
"robot","flower"
"human","data"
"human","flower"
"robot","data"
"robot","data"
"human","data"
"human","data"
"robot","data"
"human","data"
"human","data"
"robot","flower"
"robot","flower"
"human","data"
"robot","flower"
"robot","flower"
"human","flower"
"robot","data"
"human","flower"
"robot","flower"
"robot","flower"
"human","data"
"human","data"
"human","data"
"human","data"
"human","flower"
"human","flower"
"human","data"
"human","flower"
"robot","data"
"human","data"
"human","data"
"robot","flower"
"human","flower"
"human","data"
"robot","data"
"robot","data"
"robot","data"
"human","flower"
"human","data"
"human","flower"
"human","data"
"human","data"
"human","data"
"robot","flower"
"robot","data"
"human","data"
"robot","flower"
"human","flower"
"human","flower"
"robot","flower"
"robot","flower"
"robot","flower"
"human","data"
"human","data"
"robot","flower"
"robot","data"
"robot","flower"
"human","data"
"human","data"
"human","data"
"human","data"
"robot","data"
"human","data"
"human","data"
"robot","flower"
"human","data"
"robot","data"
"robot","data"
"human","data"
"robot","flower"
"human","data"
